trade_date,trade_code,exchange
2025.03.31,SC2504,INE
2025.04.15,BC2504,INE
2025.04.15,NR2504,INE
2025.04.28,EC2504,INE
2025.05.15,NR2505,INE
2025.05.15,BC2505,INE
2025.04.30,SC2505,INE
2025.04.30,LU2505,INE
2024.08.20,SC2409TAS,INE
2024.12.16,PB2412,SHF
2024.08.15,RB2408,SHF
2024.09.18,PB2409,SHF
2024.12.16,AL2412,SHF
2024.11.15,AO2411,SHF
2025.01.15,SP2501,SHF
2024.12.16,AO2412,SHF
2024.12.31,FU2501,SHF
2024.11.15,NI2411,SHF
2024.09.18,BR2409,SHF
2024.12.16,WR2412,SHF
2024.11.15,RB2411,SHF
2024.09.18,WR2409,SHF
2024.09.18,SS2409,SHF
2024.11.15,SN2411,SHF
2025.02.17,AU2502,SHF
2025.01.15,RB2501,SHF
2024.11.15,SS2411,SHF
2024.11.15,BR2411,SHF
2024.12.16,AU2412,SHF
2024.08.15,AL2408,SHF
2024.08.15,PB2408,SHF
2024.12.16,BU2412,SHF
2024.08.30,FU2409,SHF
2024.08.15,RU2408,SHF
2024.12.16,SP2412,SHF
2024.09.18,RU2409,SHF
2024.11.15,CU2411,SHF
2024.09.30,FU2410,SHF
2025.01.15,BR2501,SHF
2025.01.15,AG2501,SHF
2025.06.16,BU2506,SHF
2024.12.16,SS2412,SHF
2024.08.15,HC2408,SHF
2024.08.15,AG2408,SHF
2024.09.18,SN2409,SHF
2024.09.18,NI2409,SHF
2025.01.15,PB2501,SHF
2024.09.18,AO2409,SHF
2024.11.15,HC2411,SHF
2024.12.16,BR2412,SHF
2024.12.16,NI2412,SHF
2025.01.15,NI2501,SHF
2024.08.15,WR2408,SHF
2024.12.16,AG2412,SHF
2024.12.16,CU2412,SHF
2024.09.18,SP2409,SHF
2024.11.15,BU2411,SHF
2024.12.16,HC2412,SHF
2025.01.15,HC2501,SHF
2025.09.15,BU2509,SHF
2024.09.18,CU2409,SHF
2024.11.15,WR2411,SHF
2024.08.15,SN2408,SHF
2024.11.15,SP2411,SHF
2024.09.18,HC2409,SHF
2024.08.15,CU2408,SHF
2024.10.15,AL2410,SHF
2024.10.15,CU2410,SHF
2024.10.15,ZN2410,SHF
2024.10.15,PB2410,SHF
2024.10.15,NI2410,SHF
2024.10.15,SN2410,SHF
2024.10.15,RU2410,SHF
2024.10.15,BU2410,SHF
2024.10.15,SP2410,SHF
2024.10.15,AG2410,SHF
2024.10.15,RB2410,SHF
2024.10.15,WR2410,SHF
2024.10.15,HC2410,SHF
2024.10.15,SS2410,SHF
2024.10.15,AO2410,SHF
2024.10.15,BR2410,SHF
2024.11.15,ZN2411,SHF
2024.09.18,ZN2409,SHF
2025.01.15,SS2501,SHF
2025.01.15,RU2501,SHF
2024.09.18,AG2409,SHF
