TRADE_DT,B_ANAL_CURVENUMBER,B_ANAL_CURVETERM,B_ANAL_YIELD
2022.01.01,1061,2.1,11.827199999999999
2022.01.01,1061,2.2,11.862099999999999
2022.01.01,1061,2.3,11.8938
2022.01.01,1061,2.4,11.923199999999999
2022.01.01,1061,2.5,11.950699999999999
2022.01.01,1061,2.6,11.977199999999999
2022.01.01,1061,2.7,12.003299999999999
2022.01.01,1061,2.8,12.0295
2022.01.01,1061,2.9,12.056599999999999
2022.01.01,1061,3,12.0853
2022.01.01,1061,3.1,12.120599999999999
2022.01.01,1061,3.2,12.1661
2022.01.01,1061,3.3,12.2199
2022.01.01,1061,3.4,12.280199999999997
2022.01.01,1061,3.5,12.345299999999999
2022.01.01,1061,3.6,12.413299999999999
2022.01.01,1061,3.7,12.482499999999999
2022.01.01,1061,3.8,12.551199999999999
2022.01.01,1061,3.9,12.617499999999999
2022.01.01,1061,4,12.6796
2022.01.01,1061,4.1,12.732899999999997
2022.01.01,1061,4.200000000000001,12.775199999999999
2022.01.01,1061,4.3,12.8085
2022.01.01,1061,4.400000000000002,12.834699999999999
2022.01.01,1061,4.5,12.855700000000002
2022.01.01,1061,4.6,12.8735
2022.01.01,1061,4.700000000000001,12.89
2022.01.01,1061,4.8,12.907199999999999
2022.01.01,1061,4.900000000000002,12.926899999999999
2022.01.01,1061,5,12.9511
2022.01.01,1062,0,10.904099999999999
2022.01.01,1062,0.02,10.9022
2022.01.01,1062,0.04,10.9648
2022.01.01,1062,0.08,11.078099999999999
2022.01.01,1062,0.1,11.070499999999999
2022.01.01,1062,0.17,11.004599999999999
2022.01.01,1062,0.2,11.006999999999999
2022.01.01,1062,0.25,11.013999999999999
2022.01.01,1062,0.3,11.026699999999999
2022.01.01,1062,0.4,11.0806
2022.01.01,1062,0.5,11.140699999999997
2022.01.01,1062,0.6,11.1927
2022.01.01,1062,0.7,11.245999999999998
2022.01.01,1062,0.75,11.2725
2022.01.01,1062,0.8,11.297199999999998
2022.01.01,1062,0.9,11.340099999999999
2022.01.01,1062,1,11.3816
2022.01.01,1062,1.1,11.424299999999998
2022.01.01,1062,1.2,11.465099999999999
2022.01.01,1062,1.3,11.5045
2022.01.01,1062,1.4,11.542799999999999
2022.01.01,1062,1.5,11.580299999999999
2022.01.01,1062,1.6,11.617199999999998
2022.01.01,1062,1.7,11.6539
2022.01.01,1062,1.8,11.690699999999999
2022.01.01,1062,1.9,11.727899999999998
2022.01.01,1062,2,11.7659
2022.01.01,1062,2.1,11.802199999999999
2022.01.01,1062,2.2,11.8345
2022.01.01,1062,2.3,11.863699999999999
2022.01.01,1062,2.4,11.890299999999999
2022.01.01,1062,2.5,11.9152
2022.01.01,1062,2.6,11.938799999999998
2022.01.01,1062,2.7,11.961999999999999
2022.01.01,1062,2.8,11.9855
2022.01.01,1062,2.9,12.0098
2022.01.01,1062,3,12.0358
2022.01.01,1062,3.1,12.067199999999999
2022.01.01,1062,3.2,12.1064
2022.01.01,1062,3.3,12.1521
2022.01.01,1062,3.4,12.202899999999999
2022.01.01,1062,3.5,12.2574
2022.01.01,1062,3.6,12.314199999999999
2022.01.01,1062,3.7,12.3719
2022.01.01,1062,3.8,12.4291
2022.01.01,1062,3.9,12.4845
2022.01.01,1062,4,12.536699999999999
2022.01.01,1062,4.1,12.581599999999999
2022.01.01,1062,4.200000000000001,12.617299999999998
2022.01.01,1062,4.3,12.6454
2022.01.01,1062,4.400000000000002,12.6676
2022.01.01,1062,4.5,12.685399999999999
2022.01.01,1062,4.6,12.700499999999999
2022.01.01,1062,4.700000000000001,12.714399999999999
2022.01.01,1062,4.8,12.728999999999999
2022.01.01,1062,4.900000000000002,12.745699999999999
2022.01.01,1062,5,12.766199999999999
2022.01.01,1071,0,1.8041
2022.01.01,1071,0.02,1.8022
2022.01.01,1071,0.04,1.8648
2022.01.01,1071,0.08,1.9781
2022.01.01,1071,0.1,1.9705
2022.01.01,1071,0.17,1.9046
2022.01.01,1071,0.2,1.907
2022.01.01,1071,0.25,1.914
2022.01.01,1071,0.3,1.9267
2022.01.01,1071,0.4,1.9806
2022.01.01,1071,0.5,2.0407
2022.01.01,1071,0.6,2.0927
2022.01.01,1071,0.7,2.146
2022.01.01,1071,0.75,2.1725
2022.01.01,1071,0.8,2.1972
2022.01.01,1071,0.9,2.2401
2022.01.01,1071,1,2.2816
2022.01.01,1071,1.1,2.3243
2022.01.01,1071,1.2,2.3655
2022.01.01,1071,1.3,2.4053
2022.01.01,1071,1.4,2.4441
2022.01.01,1071,1.5,2.4822
2022.01.01,1071,1.6,2.5198
2022.01.01,1071,1.7,2.5572
2022.01.01,1071,1.8,2.5947
2022.01.01,1071,1.9,2.6325
2022.01.01,1071,2,2.671
2022.01.01,1071,2.1,2.7078
2022.01.01,1071,2.2,2.7408
2022.01.01,1071,2.3,2.7706
2022.01.01,1071,2.4,2.7979
2022.01.01,1071,2.5,2.8234
2022.01.01,1071,2.6,2.8478
2022.01.01,1071,2.7,2.8718
2022.01.01,1071,2.8,2.8959
2022.01.01,1071,2.9,2.921
2022.01.01,1071,3,2.9476
2022.01.01,1071,3.1,2.98
2022.01.01,1071,3.2,3.0209
2022.01.01,1071,3.3,3.0688
2022.01.01,1071,3.4,3.1222
2022.01.01,1071,3.5,3.1796
2022.01.01,1071,3.6,3.2395
2022.01.01,1071,3.7,3.3003
2022.01.01,1071,3.8,3.3607
